Asset,Last,Strike,Negócios,Quantidade,Bid,Ask,Vencimento,Cont. Abertos,Black Scholes,Volt. Implícita,VI Ask,VI Bid,VI / VH
PETRK264W2,0,26.4,0,0,0,0,14/11/2025,0,3.641766228,0,0,0,0
PETRK269W2,0,26.9,0,0,0,0,14/11/2025,0,3.150998311,0,0,0,0
PETRK274W2,3.05,27.4,1,100,0,0,14/11/2025,100,2.666001115,0.414562225,0,0,2.416435872
PETRK279W2,0,27.9,0,0,0,0,14/11/2025,0,2.19336901,0,0,0,0
PETRK284W2,0,28.4,0,0,0,0,14/11/2025,0,1.743527247,0,0,0,0
PETRK289W2,0,28.9,0,0,0,0,14/11/2025,0,1.330086478,0,0,0,0
PETRK294W2,1.07,29.4,1,1000,0,1.4,14/11/2025,2000,0.967375669,0.205712318,0.311017036,0,1.199073613
PETRK299W2,1,29.9,1,200,0,0,14/11/2025,1700,0.666758381,0.272154808,0,0,1.586359298
PETRK304W2,0.64,30.4,3,1200,0,0,14/11/2025,3500,0.433321642,0.234184265,0,0,1.365033339
PETRK309W2,0.76,30.9,2,2100,0.3,0.5,14/11/2025,5400,0.26449316,0.330061913,0.248880386,0.183663368,1.923893198
PETRK314W2,0.19,31.4,2,300,0.28,1.2,14/11/2025,3500,0.151201598,0.187826157,0.520429611,0.222587585,1.094817219
PETRK319W2,0.22,31.9,9,56000,0,0,14/11/2025,2100,0.080812449,0.239725113,0,0,1.397330308
PETRK324W2,0.15,32.4,3,1200,0,0,14/11/2025,1200,0.040346763,0.243177414,0,0,1.417453377
PETRK329W2,0.08,32.9,1,1000,0,0.25,14/11/2025,3100,0.018814261,0.23223877,0.326209068,0,1.353693268
PETRK334W2,0.09,33.4,2,200,0.01,0,14/11/2025,100,0.008197871,0.268325806,0,0.176544189,1.56404048
PETRK339W2,0,33.9,0,0,0,0,14/11/2025,0,0.003340658,0,0,0,0
PETRK344W2,0.03,34.4,2,1000,0.02,0,14/11/2025,51700,0.001274707,0.258865356,0,0.241775513,1.508896602
PETRK349W2,0,34.9,0,0,0,0.32,14/11/2025,0,0.000456117,0,0.49118042,0,0
PETRK354W2,0,35.4,0,0,0,0,14/11/2025,0,0.000153303,0,0,0,0
PETRK359W2,0,35.9,0,0,0,0,14/11/2025,0,4.85E-05,0,0,0,0
